SCRIP,NAME,SECTOR
514215,Binny Ltd.,Textile
SHREEKRPOL,K-Lifestyle Industries Ltd.,Textile
RAMGOPOLY,Ramgopal Polytex Ltd.,Trading
SANGAMIND,Sangam (India) Ltd.,Textile
514238,IKAB Securities &amp; Investment Ltd.,Finance - NBFC
SUZLONFIBR,Kush Industries Ltd.,Textile
514248,Sreechem Resins Ltd.,Chemicals
514264,Seasons Textiles Ltd.,Textile
514266,Zenith Fibres Ltd.,Textile - Manmade  Fibres
514272,Bhilwara Spinners Ltd.,Trading
AARVEEDEN,Aarvee Denims &amp; Exports Ltd.,Textile - Weaving
514280,Sanrhea Technical Textiles Ltd.,Textile
ASHIMASYN,Ashima Ltd.,Textile
PIONEEREMB,Pioneer Embroideries Ltd.,Textile - Spinning
514302,Vippy Spinpro Ltd.,Textile - Spinning
514312,Jaihind Synthetics Ltd.,Trading
514316,Raghuvir Synthetics Ltd.,Textile
514318,Jattashankar Industries Ltd.,Textile - Manmade  Fibres
514322,Kamadgiri Fashion Ltd.,Textile - Manmade  Fibres
514324,Omnitex Industries (India) Ltd.,Trading
PATSPINLTD,Patspin India Ltd.,Textile - Spinning
514330,One Global Service Provider Ltd.,Textile
514332,Neo Infracon Ltd.,Construction - Real Estate
514336,Genesis IBRC India Ltd.,Plastic Products
PREMIERPOL,Premier Polyfilm Ltd.,Plastic Products
514358,Everlon Financials Ltd.,Textile - Spinning
514360,K&amp;R Rail Engineering Ltd.,Engineering - Construction
514378,Yarn Syndicate Ltd.,Trading
GUJCOTEX,Gujarat Cotex Ltd.,Trading
514394,Atlas Jewellery India Ltd.,Trading
514400,Garware Synthetics Ltd.,Textile - Spinning
514402,Sharad Fibres &amp; Yarn Processors Ltd.,Textile
514412,Sarup Industries Ltd.,Household &amp; Personal Products
MANORG,Mangalam Organics Ltd.,Chemicals
514428,Hindustan Adhesives Ltd.,Plastic Products
514440,Blue Pearl Texspin Ltd.,Trading
514442,Sri KPR Industries Ltd.,Cement &amp; Construction Materials
514448,Jyoti Resins &amp; Adhesives Ltd.,Chemicals
514450,Mahalaxmi Rubtech Ltd.,Textile
514454,Southern Latex Ltd.,Textile
514460,Oswal Yarns Ltd.,Textile
514470,Winsome Textile Industries Ltd.,Textile
514482,Asahi Industries Ltd.,Textile - Spinning
514484,Thambbi Modern Spinning Mills Ltd.,Textile - Spinning
MODINSULAT,Modern Insulators Ltd.,Electronics - Components
REGENCERAM,Regency Ceramics Ltd.,Ceramics-Marble-Granite-Sanitaryware
ASAHIINDIA,Asahi India Glass Ltd.,Glass
MURUDCERA,Murudeshwar Ceramics Ltd.,Ceramics-Marble-Granite-Sanitaryware
515043,Saint-Gobain Sekurit India Ltd.,Glass
ANANTRAJ,Anant Raj Ltd.,Construction - Real Estate
MADSUDIND,Madhusudan Industries Ltd.,Trading
515081,Sri Vajra Granites Ltd.,Ceramics-Marble-Granite-Sanitaryware
515085,Restile Ceramics Ltd.,Ceramics-Marble-Granite-Sanitaryware
MADHAV,Madhav Marbles And Granites Ltd.,Ceramics-Marble-Granite-Sanitaryware
515127,Ramasigns Industries Ltd.,Trading
HINDNATGLS,Hindusthan National Glass &amp; Industries Ltd.,Glass
515147,Haldyn Glass Ltd.,Glass
516003,Duroply Industries Ltd.,Wood &amp; Wood Products
MANGTIMBER,Mangalam Timber Products Ltd.,Wood &amp; Wood Products
SHREYANIND,Shreyans Industries Ltd.,Paper &amp; Paper Products
516020,Agio Paper &amp; Industries Ltd.,Paper &amp; Paper Products
STARPAPER,Star Paper Mills Ltd.,Paper &amp; Paper Products
516030,Yash Pakka Ltd.,Paper &amp; Paper Products
516032,Sarda Papers Ltd.,Paper &amp; Paper Products
516062,National Plywood Industries Ltd.,Wood &amp; Wood Products
ARROWGREEN,Arrow Greentech Ltd.,Miscellaneous
VISHNU,Vishnu Chemicals Ltd.,Chemicals
JUMBO,Jumbo Bag Ltd.,Plastic Products
NRAIL,NR Agarwal Industries Ltd.,Paper &amp; Paper Products
516086,Shree Rajeshwaranand Paper Mills Ltd.,Paper &amp; Paper Products
3PLAND,3P Land Holdings Ltd.,Finance - Investment
516096,Sangal Papers Ltd.,Paper &amp; Paper Products
516098,Ventura Textiles Ltd.,Textile
516106,Shree Karthik Papers Ltd.,Paper &amp; Paper Products
SIPAPER,South India Paper Mills Ltd.,Paper &amp; Paper Products
516110,Scandent Imaging Ltd.,Packaging
VINDHYATEL,Vindhya Telelinks Ltd.,Engineering - Construction
517035,Ruttonsha International Rectifier Ltd.,Electronics - Components
ADORWELD,Ador Welding Ltd.,Electrodes &amp; Welding Equipment
517044,International Data Management Ltd.,IT - Hardware
SALZERELEC,Salzer Electronics Ltd.,Cable
517063,Jetking Infotrain Ltd.,IT - Education
517077,Ind-Agiv Commerce Ltd.,Trading
APLAB,Aplab Ltd.,Electric Equipment
517119,PCS Technology Ltd.,IT - Hardware
USHAMART,Usha Martin Ltd.,Steel &amp; Iron Products
SPICELEC,SPEL Semiconductor Ltd.,Electronics - Components
SUBROS,Subros Ltd.,Auto Ancillary
517170,Effulgent Infomedia Ltd.,Electronics - Components
HONAUT,Honeywell Automation India Ltd.,Consumer Durables - Electronics
517201,Switching Technologies Gunther Ltd.,Electronics - Components
LUMAXIND,Lumax Industries Ltd.,Auto Ancillary
DIGISPICE,Digispice Technologies Ltd.,IT - Software
PAEL,PAE Ltd.,Trading
517236,Calcom Vision Ltd.,Electric Equipment
517238,Dynavision Ltd.,Miscellaneous
517246,BCC Fuba India Ltd.,Electronics - Components
517258,Precision Electronics Ltd.,Engineering - Construction
517264,Fine-Line Circuits Ltd.,Electronics - Components
HBLPOWER,HBL Power Systems Ltd.,Batteries
S&SPOWER,S&amp;S Power Switchgear Ltd.,Electric Equipment
517288,Gujarat Poly Electronics Ltd.,Electronics - Components
GIPCL,Gujarat Industries Power Company Ltd.,Power Generation-Distribution
517320,Savant Infocomm Ltd.,Cable
CMICABLES,CMI Ltd.,Cable
MOTHERSUMI,Motherson Sumi Systems Ltd.,Auto Ancillary
MINDTECK,Mindteck (India) Ltd.,IT - Software
HAVELLS,Havells India Ltd.,Electric Equipment
517356,ACI Infocom Ltd.,IT - Hardware
517370,Incap Ltd.,Electronics - Components
517372,Gujarat Intrux Ltd.,Castings-Forgings
IGARASHI,Igarashi Motors India Ltd.,Electric Equipment
SYMPHONY,Symphony Ltd.,Consumer Durables - Domestic Appliances
517393,Vintron Informatics Ltd.,Electronics - Components
517397,Pan Electronics (India) Ltd.,Electronics - Components
VXLINSTR,VXL Instruments Ltd.,IT - Hardware
SHYAMTEL,Shyam Telecom Ltd.,Telecommunication - Equipment
517415,Lee &amp; Nee Softwares (Exports) Ltd.,IT - Software
517417,Patels Airtemp (India) Ltd.,Engineering - Industrial Equipments
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd.,Consumer Durables - Domestic Appliances
517429,Athena Global Technologies Ltd.,IT - Software
517431,Narmada Macplast Drip Irrigation Systems Ltd.,Plastic Products
517437,Dutron Polymers Ltd.,Plastic Products
RSSOFTWARE,RS Software (India) Ltd.,IT - Software
517449,Magna Electro Castings Ltd.,Castings-Forgings
517463,Linaks Microelectronics Ltd.,Electronics - Components
517467,Marsons Ltd.,Electric Equipment
ELNET,Elnet Technologies Ltd.,IT - Software
517494,Accel Ltd.,IT - Hardware
WEBELSOLAR,Websol Energy System Ltd.,Electronics - Components
517500,Roto Pumps Ltd.,Compressors - Pumps
TTKPRESTIG,TTK Prestige Ltd.,Consumer Durables - Domestic Appliances
517514,D&amp;H India Ltd.,Electrodes &amp; Welding Equipment
RAJRATAN,Rajratan Global Wire Ltd.,Steel &amp; Iron Products
SURANAT&P,Surana Telecom And Power Ltd.,Cable
ONWARDTEC,Onward Technologies Ltd.,IT - Software
CENTUM,Centum Electronics Ltd.,Electronics - Components
517546,Alfa Transformers Ltd.,Electric Equipment
517548,Starlite Components Ltd.,Electric Equipment
517554,NHC Foods Ltd.,Consumer Food
PVP,PVP Ventures Ltd.,Construction - Real Estate
TRIGYN,Trigyn Technologies Ltd.,IT - Software
KEI,KEI Industries Ltd.,Cable
INDLMETER,IMP Powers Ltd.,Electric Equipment
518011,Keerthi Industries Ltd.,Cement &amp; Construction Materials
GSCLCEMENT,Gujarat Sidhee Cement Ltd.,Cement &amp; Construction Materials
518075,Suraj Products Ltd.,Steel-Sponge Iron-Pig Iron
APCL,Anjani Portland Cement Ltd.,Cement &amp; Construction Materials
519003,Modi Naturals Ltd.,Solvent  Extraction
519014,Prashant India Ltd.,Textile
519031,Shah Foods Ltd.,Consumer Food
519064,Khandelwal Extractions Ltd.,Solvent  Extraction
TASTYBITE,Tasty Bite Eatables Ltd.,Consumer Food
519097,Ritesh International Ltd.,Consumer Food
AVTNPL,AVT Natural Products Ltd.,Consumer Food
HNDFDS,Hindustan Foods Ltd.,Consumer Food
NAHARINDUS,Nahar Industrial Enterprises Ltd.,Textile - Spinning
519152,Vadilal Enterprises Ltd.,Consumer Food
VADILALIND,Vadilal Industries Ltd.,Consumer Food
519174,Ashiana Agro Industries Ltd.,Trading
ADFFOODS,ADF Foods Ltd.,Consumer Food
519191,Retro Green Revolution Ltd.,Tea-Coffee
519214,Williamson Financial Services Ltd.,Finance - NBFC
519216,Ajanta Soya Ltd.,Consumer Food
WILLAMAGOR,Williamson Magor &amp; Company Ltd.,Finance - NBFC
519230,Richirich Inventures Ltd.,Solvent  Extraction
519234,Superior Industrial Enterprises Ltd.,Paper &amp; Paper Products
519238,Saptarishi Agro Industries Ltd.,Agriculture
519242,Sarda Proteins Ltd.,Trading
SANWARIA,Sanwaria Consumer Ltd.,Solvent  Extraction
519262,Prima Agro Ltd.,Consumer Food
MADHURFOOD,Madhur Industries Ltd.,Trading
519285,Tarai Foods Ltd.,Agriculture
519287,Modern Dairies Ltd.,Consumer Food
519295,Bambino Agro Industries Ltd.,Consumer Food
519299,Prime Industries Ltd.,Consumer Food
VIKASWSP,Vikas WSP Ltd.,Chemicals
519319,Jatalia Global Ventures Ltd.,Trading
519331,VSF Projects Ltd.,Engineering - Construction
519353,Bansisons Tea Industries Ltd.,Tea-Coffee
519359,Poona Dal &amp; Oil Industries Ltd.,Solvent  Extraction
519367,Transglobe Foods Ltd.,Consumer Food
ANIKINDS,Anik Industries Ltd.,Consumer Food
519397,Sharat Industries Ltd.,Consumer Food
519413,Datiware Maritime Infra Ltd.,Aquaculture
519415,KMG Milk Food Ltd.,Consumer Food
KSE,KSE Ltd.,Consumer Food
519439,Pioneer Agro Extracts Ltd.,Solvent  Extraction
519455,Narbada Gems And Jewellery Ltd.,Trading
519457,Virat Crane Industries Ltd.,Consumer Food
519463,IB Infotech Enterprises Ltd.,Consumer Food
519471,Ambar Protein Industries Ltd.,Solvent  Extraction
519475,Chordia Food Products Ltd.,Consumer Food
519477,CIAN Agro Industries &amp; Infrastructure Ltd.,Solvent  Extraction
519483,Tai Industries Ltd.,Trading
NKIND,NK Industries Ltd.,Solvent  Extraction
519500,BKV Industries Ltd.,Aquaculture
519506,NCC Blue Water Products Ltd.,Aquaculture
NORBTEAEXP,Norben Tea &amp; Exports Ltd.,Tea-Coffee
519532,Asian Tea &amp; Exports Ltd.,Trading
HERITGFOOD,Heritage Foods Ltd.,Consumer Food
519566,Simran Farms Ltd.,Agriculture
DFMFOODS,DFM Foods Ltd.,Consumer Food
CCL,CCL Products (India) Ltd.,Tea-Coffee
KELLTONTEC,Kellton Tech Solutions Ltd.,IT - Software
519604,Suryo Foods &amp; Industries Ltd.,Consumer Food
519606,Integrated Proteins Ltd.,Miscellaneous
519612,Mahaan Foods Ltd.,Consumer Food
RICOAUTO,Rico Auto Industries Ltd.,Auto Ancillary
OMAXAUTO,Omax Autos Ltd.,Trading
MUNJALSHOW,Munjal Showa Ltd.,Auto Ancillary
JAMNAAUTO,Jamna Auto Industries Ltd.,Auto Ancillary
SUNCLAYLTD,Sundaram-Clayton Ltd.,Auto Ancillary
JTEKTINDIA,JTEKT India Ltd.,Auto Ancillary
MUNJALAU,Munjal Auto Industries Ltd.,Auto Ancillary
JAYBARMARU,Jay Bharat Maruti Ltd.,Auto Ancillary
520073,RACL Geartech Ltd.,Auto Ancillary
520075,Samkrg Pistons &amp; Rings Ltd.,Auto Ancillary
SICAL,Sical Logistics Ltd.,Logistics
RATNAMANI,Ratnamani Metals &amp; Tubes Ltd.,Steel &amp; Iron Products
VESUVIUS,Vesuvius India Ltd.,Refractories
ASAL,Automotive Stampings and Assemblies Ltd.,Auto Ancillary
520121,Arcee Industries Ltd.,Plastic Products
520123,ABC India Ltd.,Logistics
BALURTRANS,Balurghat Technologies Ltd.,Logistics
520131,Coastal Roadways Ltd.,Logistics
520141,Sibar Auto Parts Ltd.,Auto Ancillary
SHREYAS,Shreyas Shipping &amp; Logistics Ltd.,Shipping
ABGHEAVY,Starlog Enterprises Ltd.,Miscellaneous
521005,Titan Intech Ltd.,Textile
EUROTEXIND,Eurotex Industries And Exports Ltd.,Textile - Spinning
ICIL,Indo Count Industries Ltd.,Textile
MARALOVER,Maral Overseas Ltd.,Textile - Spinning
SOMATEX,Soma Textiles &amp; Industries Ltd.,Textile
521036,Source Industries (India) Ltd.,Textile
521048,Advance Lifestyles Ltd.,Textile
521054,Kakatiya Textiles Ltd.,Textile - Spinning
521062,Perfect-Octave Media Projects Ltd.,TV Broadcasting &amp; Software Production
TRIDENT,Trident Ltd.,Textile - Spinning
521068,Hisar Spinning Mills Ltd.,Textile - Spinning
ALOKINDS,Alok Industries Ltd.,Textile
521080,Pasari Spinning Mills Ltd.,Textile - Spinning
SPENTEX,CLC Industries Ltd.,Textile - Spinning
AMARJOTHI,Amarjothi Spinning Mills Ltd.,Textile - Spinning
521105,Olympia Industries Ltd.,Retailing
NAGREEKEXP,Nagreeka Exports Ltd.,Textile - Spinning
SUDITIND,Suditi Industries Ltd.,Textile
521131,Anjani Dham Industries Ltd.,Textile
GEMSPIN,Gem Spinners India Ltd.,Textile - Spinning
521137,Eureka Industries Ltd.,Textile - Spinning
ADITYASPIN,Aditya Spinners Ltd.,Textile - Spinning
521149,Prime Urban Development India Ltd.,Textile
521151,Dhanlaxmi Fabrics Ltd.,Textile
521161,Sri Lakshmi Saraswathi Textiles (Arni) Ltd.,Textile - Spinning
ZODIACLOTH,Zodiac Clothing Company Ltd.,Textile
GANGOTRI,Gangotri Textiles Ltd.,Textile - Spinning
521178,Sri Ramakrishna Mills (Coimbatore) Ltd.,Textile - Spinning
SUPERSPIN,Super Spinning Mills Ltd.,Textile - Spinning
521182,Seasons Furnishings Ltd.,Trading
521188,United Textiles Ltd.,Textile - Spinning
SILINV,SIL Investments Ltd.,Finance - NBFC
SURYALAXMI,Suryalakshmi Cotton Mills Ltd.,Textile
521206,Samtex Fashions Ltd.,Textile
521210,Cityman Ltd.,Textile
521216,Dhanalaxmi Roto Spinners Ltd.,Trading
DAMODARIND,Damodar Industries Ltd.,Textile - Spinning
521222,Sanblue Corporation Ltd.,Finance - NBFC
521226,Uniroyal Industries Ltd.,Textile
521228,Felix Global Venture Ltd.,Textile
521232,Sunil Industries Ltd.,Textile
521234,Sri Nachammai Cotton Mills Ltd.,Textile - Spinning
521238,KKRRAFTON Developers Ltd.,IT - Software
SAMBANDAM,Sambandam Spinning Mills Ltd.,Textile - Spinning
KANDAGIRI,Kandagiri Spinning Mills Ltd.,Textile - Spinning
521244,Chitradurga Spintex Ltd.,Textile - Spinning
KITEX,Kitex Garments Ltd.,Textile
522001,Cranex Ltd.,Engineering - Industrial Equipments
BATLIBOI,Batliboi Ltd.,Engineering - Industrial Equipments
522005,Austin Engineering Company Ltd.,Bearings
UNIDT,United Drilling Tools Ltd.,Engineering - Industrial Equipments
522017,Fluidomat Ltd.,Engineering - Industrial Equipments
522027,Ema India Ltd.,Engineering - Industrial Equipments
WINDMACHIN,Windsor Machines Ltd.,Engineering - Industrial Equipments
SHANTIGEAR,Shanthi Gears Ltd.,Auto Ancillary
522036,Miven Machine Tools Ltd.,Engineering - Industrial Equipments
HONDAPOWER,Honda India Power Products Ltd.,Electric Equipment
HITECHGEAR,The Hi-Tech Gears Ltd.,Auto Ancillary
ELGIEQUIP,Elgi Equipments Ltd.,Compressors - Pumps
522091,United Van Der Horst Ltd.,Engineering - Industrial Equipments
KILBUNENGG,Kilburn Engineering Ltd.,Engineering - Industrial Equipments
522105,Birla Precision Technologies Ltd.,Engineering - Industrial Equipments
YUKEN,Yuken India Ltd.,Engineering - Industrial Equipments
TIMKEN,Timken India Ltd.,Bearings
PORRITSPEN,Voith Paper Fabrics India Ltd.,Textile
ARTSONENGG,Artson Engineering Ltd.,Engineering - Industrial Equipments
522152,Solitaire Machine Tools Ltd.,Engineering - Industrial Equipments
DIAPOWER,Diamond Power Infrastructure Ltd.,Cable
522165,Indsil Hydro Power and Manganese Ltd.,Ferro &amp; Silica Manganese
522183,ITL Industries Ltd.,Engineering - Industrial Equipments
522195,Frontier Springs Ltd.,Steel &amp; Iron Products
PRAJIND,Praj Industries Ltd.,Engineering - Industrial Equipments
522207,Rasandik Engineering Industries India Ltd.,Auto Ancillary
522209,Yogi Infra Projects Ltd.,Construction - Real Estate
HLEGLAS,HLE Glascoat Ltd.,Engineering - Industrial Equipments
GUJAPOLLO,Gujarat Apollo Industries Ltd.,Engineering - Industrial Equipments
TANEJAERO,Taneja Aerospace &amp; Aviation Ltd.,Airlines
522231,Conart Engineers Ltd.,Engineering - Construction
522237,Shivagrico Implements Ltd.,Engineering
MMFL,MM Forgings Ltd.,Forgings
522245,Iykot Hitech Toolroom Ltd.,Engineering - Industrial Equipments
MAYURUNIQ,Mayur Uniquoters Ltd.,Textile
522251,Cenlub Industries Ltd.,Engineering - Industrial Equipments
522257,Rajoo Engineers Ltd.,Engineering - Industrial Equipments
JMCPROJECT,JMC Projects (India) Ltd.,Construction - Real Estate
522267,Veejay Lakshmi Engineering Works Ltd.,Textile - Machinery
522273,Ahmedabad Steelcraft Ltd.,Steel &amp; Iron Products
GET&D,GE T&amp;D India Ltd.,Electric Equipment
522281,Ram Ratna Wires Ltd.,Metal - Non Ferrous
JAYNECOIND,Jayaswal Neco Industries Ltd.,Steel &amp; Iron Products
KALPATPOWR,Kalpataru Power Transmission Ltd.,Transmission Towers - Equipments
522289,NMS Resources Global Ltd.,Trading
522292,Chandni Textiles Engineering Industries Ltd.,Textile
522294,T&amp;I Global Ltd.,Engineering - Industrial Equipments
CONTROLPR,Control Print Ltd.,IT - Hardware
522650,Bemco Hydraulics Ltd.,Engineering - Industrial Equipments
523007,Ansal Buildwell Ltd.,Construction - Real Estate
WEIZMANIND,Weizmann Ltd.,Textile
523019,BN Rathi Securities Ltd.,Finance - Stock Broking
RISHIPACK,Rishi Techtex Ltd.,Plastic Products
523023,Sinclairs Hotels Ltd.,Hotel
SAFARI,Safari Industries (India) Ltd.,Household &amp; Personal Products
523054,Binayak Tex Processors Ltd.,Textile
523062,JJ Finance Corporation Ltd.,Finance - NBFC
523100,Cosmo Ferrites Ltd.,Electronics - Components
523105,PlanterS Polysacks Ltd.,Plastic Products
523113,Futuristic Securities Ltd.,Finance - Investment
523116,Sanco Trans Ltd.,Logistics
523120,Ador Multiproducts Ltd.,Household &amp; Personal Products
EIHAHOTELS,EIH Associated Hotels Ltd.,Hotel
MEDICAPS,Medi-Caps Ltd.,Chemicals
523151,Otco International Ltd.,IT - Software
523160,Morganite Crucible (India) Ltd.,Refractories
523164,SIP Industries Ltd.,Floriculture
523186,B&amp;A Packaging India Ltd.,Paper &amp; Paper Products
ABAN,Aban Offshore Ltd.,Oil Exploration
KOKUYOCMLN,Kokuyo Camlin Ltd.,Printing &amp; Stationery
523209,Nicco Uco Alliance Credit Ltd.,Finance - NBFC
523222,SRM Energy Ltd.,Textile
523229,Bharat Seats Ltd.,Auto Ancillary
523232,Continental Petroleums Ltd.,Refineries
523242,NB Footwear Ltd.,Footwear
523248,Machino Plastics Ltd.,Auto Ancillary
PEARLPOLY,Pearl Polymers Ltd.,Plastic Products
VENKEYS,Venky'S (India) Ltd.,Agriculture
ADVANIHOTR,Advani Hotels &amp; Resorts (India) Ltd.,Hotel
523277,GV Films Ltd.,Film Production
SUPERHOUSE,Superhouse Ltd.,Footwear
RAMAVISION,Rama Vision Ltd.,Trading
TCPLPACK,TCPL Packaging Ltd.,Packaging
BALMLAWRIE,Balmer Lawrie &amp; Company Ltd.,Diversified
KOVAI,Kovai Medical Center &amp; Hospital Ltd.,Hospital &amp; Healthcare Services
523329,Eldeco Housing &amp; Industries Ltd.,Construction - Real Estate
DCMSHRIRAM,DCM Shriram Ltd.,Diversified
DCMSRIND,DCM Shriram Industries Ltd.,Sugar
MAWANASUG,Mawana Sugars Ltd.,Sugar
523373,Mini Diamonds (India) Ltd.,Diamond  &amp;  Jewellery
MAHAPEXLTD,Maha Rashtra Apex Corporation Ltd.,Finance - Investment
NILKAMAL,Nilkamal Ltd.,Plastic Products
TRITON,Triton Corp Ltd.,BPO-ITeS
NAHARPOLY,Nahar Poly Films Ltd.,Plastic Products
3MINDIA,3M India Ltd.,Diversified
JCHAC,Johnson Controls - Hitachi Air Conditioning India Ltd.,Air Conditioners
JMFINANCIL,JM Financial Ltd.,Finance - Investment
KRONECOMM,ADC India Communications Ltd.,Telecommunication - Equipment
523415,Coventry Coil-O-Matic (Haryana) Ltd.,Auto Ancillary
TNTELE,Tamilnadu Telecommunications Ltd.,Cable
523425,Sunraj Diamond Exports Ltd.,Diamond  &amp;  Jewellery
RIIL,Reliance Industrial Infrastructure Ltd.,Engineering - Construction
KALYANISHP,Sharp India Ltd.,Air Conditioners
LINDEINDIA,Linde India Ltd.,Industrial  Gases &amp; Fuels
523465,Ind Bank Housing Ltd.,Finance - Housing
523467,Jai Mata Glass Ltd.,Glass
523475,Lotus Chocolate Company Ltd.,Consumer Food
PACIFICIND,Pacific Industries Ltd.,Ceramics-Marble-Granite-Sanitaryware
523489,Chennai Meenakshi Multispeciality Hospital Ltd.,Hospital &amp; Healthcare Services
523519,Universal Office Automation Ltd.,Trading
523537,APM Industries Ltd.,Textile - Spinning
PRECWIRE,Precision Wires India Ltd.,Cable
523550,Krypton Industries Ltd.,Tyres &amp; Allied
NETWORK,Swiss Military Consumer Goods Ltd.,IT - Hardware
523566,Martin Burn Ltd.,Construction - Real Estate
FEL,Future Enterprises Ltd.,Retailing
523586,Indian Toners &amp; Developers Ltd.,Chemicals
523594,Kunststoffe Industries Ltd.,Plastic Products
IRCON,Ircon International Ltd.,Engineering - Construction
SCI,Shipping Corporation Of India Ltd.,Shipping
523606,Sika Interplant Systems Ltd.,Engineering - Industrial Equipments
ITI,ITI Ltd.,Telecommunication - Equipment
DREDGECORP,Dredging Corporation Of India Ltd.,Shipping
523620,Phaarmasia Ltd.,Pharmaceuticals &amp; Drugs
PODDARHOUS,Poddar Housing and Development Ltd.,Construction - Real Estate
NFL,National Fertilizers Ltd.,Fertilizers
IPRINGLTD,IP Rings Ltd.,Auto Ancillary
PIIND,PI Industries Ltd.,Pesticides &amp; Agrochemicals
PLASTIBLEN,Plastiblends India Ltd.,Chemicals
523650,Yash Innoventures Ltd.,Miscellaneous
523652,Kkalpana Plastick Ltd.,Trading
WATERBASE,Waterbase Ltd.,Consumer Food
523672,Flex Foods Ltd.,Consumer Food
523676,Golkunda Diamonds &amp; Jewellery Ltd.,Diamond  &amp;  Jewellery
APCOTEXIND,Apcotex Industries Ltd.,Rubber  Products
523696,Fortis Malar Hospitals Ltd.,Hospital &amp; Healthcare Services
MASTEK,Mastek Ltd.,IT - Software
EIMCOELECO,Eimco Elecon (India) Ltd.,Engineering - Industrial Equipments
SAYAJIHOTL,Sayaji Hotels Ltd.,Hotel
523712,JMG Corporation Ltd.,Miscellaneous
ASHIANA,Ashiana Housing Ltd.,Construction - Real Estate
523722,Svam Softwares Ltd.,IT - Software
WESTERNBIO,Ecoboard Industries Ltd.,Wood &amp; Wood Products
DVL,Dhunseri Ventures Ltd.,Chemicals
523752,IO System Ltd.,Engineering - Industrial Equipments
MAHEPC,Mahindra EPC Irrigation Ltd.,Engineering - Industrial Equipments
SREINFRA,SREI Infrastructure Finance Ltd.,Finance - NBFC
523782,Mitshi India Ltd.,Diversified
SHUKRADIAM,Shukra Jewellery Ltd.,Diamond  &amp;  Jewellery
MAZDA,Mazda Ltd.,Engineering - Industrial Equipments
VICEROY,Viceroy Hotels Ltd.,Hotel
523826,Sovereign Diamonds Ltd.,Diamond  &amp;  Jewellery
MENONBE,Menon Bearings Ltd.,Bearings
MUKATPIPE,Mukat Pipes Ltd.,Steel &amp; Iron Products
GUJRAFFIA,Gujarat Raffia Industries Ltd.,Plastic Products
SIMPLEXINF,Simplex Infrastructures Ltd.,Engineering - Construction
523840,Innovative Tech Pack Ltd.,Plastic Products
523842,Super Tannery Ltd.,Leather
523844,Constronics Infra Ltd.,Hospital &amp; Healthcare Services
523850,Axtel Industries Ltd.,Engineering - Industrial Equipments
523862,Pacheli Industrial Finance Ltd.,Construction - Real Estate
523874,Precision Containeurs Ltd.,Steel &amp; Iron Products
523888,VR Woodart Ltd.,Wood &amp; Wood Products
523896,AVI Products India Ltd.,Trading
POONAWALLA,Poonawalla Fincorp Ltd.,Finance - NBFC
524013,Hindustan Fluorocarbons Ltd.,Petrochemicals
KINGFA,Kingfa Science &amp; Technology (India) Ltd.,Plastic Products
524031,Patidar Buildcon Ltd.,Construction - Real Estate
RAMAPHOSP,Rama Phosphates Ltd.,Fertilizers
VENLONPOLY,Venlon Enterprises Ltd.,Chemicals
POLYPLEX,Polyplex Corporation Ltd.,Plastic Products
ALBERTDAVD,Albert David Ltd.,Pharmaceuticals &amp; Drugs
524080,Haryana Leather Chemicals Ltd.,Chemicals
ACRYSIL,Acrysil Ltd.,Household &amp; Personal Products
KABRAEXTRU,Kabra Extrusiontechnik Ltd.,Engineering - Industrial Equipments
VINYLINDIA,Vinyl Chemicals (India) Ltd.,Trading
524136,Pee Cee Cosma Sope Ltd.,Household &amp; Personal Products
524156,TCM Ltd.,Chemicals
IOLCP,IOL Chemicals And Pharmaceuticals Ltd.,Pharmaceuticals &amp; Drugs
524174,Kesar Petroproducts Ltd.,Chemicals
VINATIORGA,Vinati Organics Ltd.,Chemicals
524202,Lactose (India) Ltd.,Pharmaceuticals &amp; Drugs
AARTIIND,Aarti Industries Ltd.,Chemicals
524210,Pentokey Organy (India) Ltd.,Chemicals
WANBURY,Wanbury Ltd.,Pharmaceuticals &amp; Drugs
524218,Resonance Specialties Ltd.,Chemicals
GAEL,Gujarat Ambuja Exports Ltd.,Solvent  Extraction
RCF,Rashtriya Chemicals and Fertilizers Ltd.,Fertilizers
KOPRAN,Kopran Ltd.,Pharmaceuticals &amp; Drugs
AIMCOPEST,Aimco Pesticides Ltd.,Pesticides &amp; Agrochemicals
524314,Gujarat Terce Laboratories Ltd.,Pharmaceuticals &amp; Drugs
524322,Kabra Drugs Ltd.,Pharmaceuticals &amp; Drugs
SEYAIND,Seya Industries Ltd.,Chemicals
JAYAGROGN,Jayant Agro-Organics Ltd.,Chemicals
BCLIND,BCL Industries Ltd.,Solvent  Extraction
524336,Shree Hari Chemicals Export Ltd.,Chemicals
524342,Indo Borax &amp; Chemicals Ltd.,Chemicals
AARTIDRUGS,Aarti Drugs Ltd.,Pharmaceuticals &amp; Drugs
BODALCHEM,Bodal Chemicals Ltd.,Dyes &amp; Pigments
ORCHPHARMA,Orchid Pharma Ltd.,Pharmaceuticals &amp; Drugs
VIMTALABS,Vimta Labs Ltd.,Miscellaneous
BIOFILCHEM,Biofil Chemicals &amp; Pharmaceuticals Ltd.,Pharmaceuticals &amp; Drugs
524400,Ishita Drugs &amp; Industries Ltd.,Pharmaceuticals &amp; Drugs
