NAME,SECTOR,SCRIP
ND Metal Industries Ltd.,Metal - Non Ferrous,512024
Kapil Cotex Ltd.,Textile,512036
Royal India Corporation Ltd.,Finance - Stock Broking,512047
Luharuka Media &amp; Infra Ltd.,Finance - NBFC,512048
Vishvprabha Ventures Ltd.,Trading,512064
Deccan Gold Mines Ltd.,Mining &amp; Minerals,512068
UPL Ltd.,Pesticides &amp; Agrochemicals,UPL
Cranes Software International Ltd.,IT - Software,CRANESSOFT
Nidhi Granites Ltd.,Finance - Others,512103
Aviva Industries Ltd.,Trading,512109
Signet Industries Ltd.,Trading,SIGIND
Securekloud Technologies Ltd.,IT - Software,SECURKLOUD
ABans Enterprises Ltd.,Trading,512165
Capricorn Systems Global Solutions Ltd.,IT - Software,512169
Vama Industries Ltd.,IT - Software,512175
Sunteck Realty Ltd.,Construction - Real Estate,SUNTECK
Silveroak Commercials Ltd.,Electric Equipment,512197
Stephanotis Finance Ltd.,Finance - NBFC,512215
Prism Medico and Pharmacy Ltd.,Finance - Investment,512217
SPV Global Trading Ltd.,Finance - NBFC,512221
Veritas (India) Ltd.,Trading,512229
Jaybharat Textiles &amp; Real Estate Ltd.,Textile - Spinning,512233
Jai Corp Ltd.,Plastic Products,JAICORPLTD
Ashirwad Capital Ltd.,Finance - Investment,512247
Swasti Vinayaka Art &amp; Heritage Corporation Ltd.,Miscellaneous,512257
Media Matrix Worldwide Ltd,Film Production,MMWL
N2N Technologies Ltd.,Finance - Investment,512279
Shirpur Gold Refinery Ltd.,Metal - Non Ferrous,SHIRPUR-G
Bhagyanagar India Ltd.,Metal - Non Ferrous,BHAGYANGR
Shantai Industries Ltd.,Textile,512297
Chambal Breweries &amp; Distilleries Ltd.,Trading,512301
Kintech Renewables Ltd.,Textile,512329
CES Ltd.,BPO-ITeS,512341
Aravali Securities &amp; Finance Ltd.,Finance - Investment,ARAVALISEC
Sword-Edge Commercials Ltd.,Trading,512359
Cressanda Solutions Ltd.,IT - Software,512379
Starteck Finance Ltd.,Finance - NBFC,512381
Shardul Securities Ltd.,Finance - NBFC,SHRIYAMSEC
Kapashi Commercial Ltd.,Finance - Others,512399
I Power Solutions India Ltd.,IT - Software,512405
Nirav Commercials Ltd.,Aluminium &amp; Aluminium Products,512425
Apollo Finvest (India) Ltd.,Finance - Investment,512437
Enbee Trade &amp; Finance Ltd.,Finance - NBFC,512441
Shri Jagdamba Polymers Ltd.,Plastic Products,512453
Lloyds Metals &amp; Energy Ltd.,Steel-Sponge Iron-Pig Iron,LLOYDMETAL
Shree Global Tradefin Ltd.,Trading,512463
Betex India Ltd.,Textile - Manmade  Fibres,512477
Gayatri Tissue &amp; Papers Ltd.,Engineering - Construction,512479
Polytex India Ltd.,Finance - NBFC,512481
Dhanlaxmi Cotex Ltd.,Finance - Investment,512485
Oasis Securities Ltd.,Finance - NBFC,512489
Garnet International Ltd.,Finance - Investment,512493
Shalimar Productions Ltd.,Film Production,512499
